id,mz,rt,ms1_isotopes,hyuA_13CUA_1,hyuA_13CUA_2,hyuA_13CUA_3,WT_13CUA_1,WT_13CUA_2,WT_13CUA_3
43.0178@4.943,43.0178,4.943,43.01778:11412 44.02113:584 45.02449:6487,29616,29296,30404,27668,28470,28381
45.0332@4.943,45.0332,4.943,45.0332:6667 46.03655:0 47.03991:0,17605,16577,14560,16719,14660,15283
55.054@4.565,55.054,4.565,55.05402:28488 56.05737:33782 57.06073:900,84495,83577,84000,90816,87586,93336
56.0494@4.564,56.0494,4.564,56.04944:31029 57.05279:900 58.05615:0,92747,94968,94528,99565,96691,104809
58.0651@5.336,58.0651,5.336,58.06511:671662 59.06846:26602 60.07182:728,1341615,1786101,1522363,2057190,2240093,2114298
59.049@4.565,59.049,4.565,59.04897:6914 60.05232:0 61.05568:0,15800,16239,19320,18852,19319,19143
60.0807@3.234,60.0807,3.234,60.08066:16445 61.08401:1182 62.08737:0,59326,64659,66005,63605,62179,69624
64.0156@0.777,64.0156,0.777,64.01558:39006 65.01893:1181 66.02229:0,131581,138121,140495,137710,126998,135854
64.0157@5.32,64.0157,5.32,64.0157:171045 65.01905:3287 66.02241:0,1609458,288928,1151569,210235,73670,42115
69.0334@4.944,69.0334,4.944,69.03342:13481 70.03677:677 71.04013:0,32746,35555,36731,33880,33567,32311
72.0808@4.901,72.0808,4.901,72.08083:73546 73.08418:3105 74.08754:216,179076,152558,157770,144009,166159,138194
73.0647@1.483,73.0647,1.483,73.06469:5477 74.06804:512 75.0714:205,17633,19133,18457,17895,15764,17486
74.0871@4.901,74.0871,4.901,74.08708:4516 75.09043:0 76.09379:0,72,81,172,8299,10995,9420
82.0643@4.566,82.0643,4.566,82.06428:5340 83.06763:0 84.07099:1298,17503,15845,16934,17994,16273,17761
83.0489@4.565,83.0489,4.565,83.04891:21332 84.05226:1201 85.05562:0,66575,66632,65027,67909,67553,69762
86.0599@4.942,86.0599,4.942,86.05994:136248 87.06329:0 88.06665:13868,378911,366112,375500,348162,338848,350605
86.0963@4.126,86.0963,4.126,86.09633:10073 87.09968:294 88.10304:380,27314,25324,25117,23913,25211,24366
87.044@4.942,87.044,4.942,87.04398:295231 88.04733:16914 89.05069:791,811432,788686,813101,738352,725051,758277
89.1069@7.394,89.1069,7.394,89.10693:4245 90.11028:0 91.11364:0,23309,21964,19445,12402,12570,16888
90.0543@0.777,90.0543,0.777,90.05433:6648 91.05768:250 92.06104:0,16763,16745,15965,20734,18931,12803
90.0548@0.895,90.0548,0.895,90.05479:10954 91.05814:1045 92.0615:233,31223,32433,33027,40524,39477,24653
90.9766@5.379,90.9766,5.379,90.97656:28707 91.97991:0 92.98327:0,146007,10271,167399,2922,1343,3582
90.9766@5.301,90.9766,5.301,90.97657:102982 91.97992:1431 92.98328:590,339614,5487,113963,15445,1480,5485
90.9766@5.162,90.9766,5.162,90.97663:69351 91.97998:844 92.98334:358,466483,85377,84022,19889,42251,23917
98.9839@6.831,98.9839,6.831,98.98394:8244 99.98729:0 100.99065:0,74638,70573,733,17459,867,110
99.0546@3.964,99.0546,3.964,99.05465:4824 100.058:219 101.06136:344,14853,14712,15982,12474,13918,12942
100.0751@4.701,100.0751,4.701,100.07512:14425 101.07847:0 102.08183:2198,61492,58428,53470,59236,52668,44048
100.0754@4.565,100.0754,4.565,100.07544:317454 101.07879:0 102.08215:48799,980952,994404,1002012,1034766,1017165,1076182
100.1117@4.272,100.1117,4.272,100.11166:26080 101.11501:4008 102.11837:3601,72817,59253,65408,72595,77696,76993
101.0594@4.564,101.0594,4.564,101.05942:844168 102.06277:48799 103.06613:3262,2609453,2606194,2620988,2714204,2680077,2802415
104.0702@0.781,104.0702,0.781,104.07025:8803 105.0736:1051 106.07696:222,17810,25477,21582,26894,32023,17279
104.0704@5.666,104.0704,5.666,104.07035:33936 105.0737:2175 106.07706:228,86912,47360,64024,69288,118219,180995
104.0706@5.058,104.0706,5.058,104.07057:28059 105.07392:1321 106.07728:0,192975,205797,193788,172938,184044,135781
104.0706@5.336,104.0706,5.336,104.07064:1794079 105.07399:161415 106.07735:11270,3858591,4971964,4397376,5614129,6075682,5898220
111.0548@4.154,111.0548,4.154,111.05477:32455 112.05812:2334 113.06148:1197,196590,122819,208620,122858,212001,95872
111.0548@3.736,111.0548,3.736,111.05479:37692 112.05814:2193 113.0615:1291,340499,406921,278429,413276,397598,166273
111.0549@3.916,111.0549,3.916,111.05488:21062 112.05823:4575 113.06159:970,60030,69240,58331,65985,63560,42402
111.055@4.045,111.055,4.045,111.05502:37820 112.05837:2494 113.06173:266,274976,283840,264536,158330,263411,189254
111.0551@4.306,111.0551,4.306,111.05511:22525 112.05846:1351 113.06182:275,84136,105055,88549,88903,72495,64410
111.0553@4.491,111.0553,4.491,111.05533:5247 112.05868:333 113.06204:0,18248,21826,19131,20121,17041,13080
112.0368@5.67,112.0368,5.67,112.03679:74665 113.04014:3247 114.0435:306,45410,38511,201403,42311,42276,40426
113.0706@4.083,113.0706,4.083,113.07056:89930 114.07391:8082 115.07727:651,249462,255244,252330,254557,236403,251878
115.0498@2.27,115.0498,2.27,115.04976:6397 116.05311:408 117.05647:504,24751,21012,20092,29106,22733,24026
115.0498@1.259,115.0498,1.259,115.04978:17206 116.05313:665 117.05649:217,57895,60068,58521,55376,54069,54322
116.0705@2.824,116.0705,2.824,116.07054:8094 117.07389:518 118.07725:6934,58321,51992,56734,57112,57265,55998
117.1018@4.35,117.1018,4.35,117.10178:9484 118.10513:0 119.10849:743,24731,22823,23299,24349,23737,21740
118.0857@0.779,118.0857,0.779,118.08574:26059 119.08909:2091 120.09245:383,76126,88817,68474,90831,94782,51199
118.0862@4.901,118.0862,4.901,118.0862:410490 119.08955:28336 120.09291:2289,1145344,1016609,1065547,931138,1012183,892919
118.0875@4.563,118.0875,4.563,118.08748:5511922 119.09083:574160 120.09419:50357,25054060,25359808,25448092,25506866,25058990,25803900
118.1209@5.132,118.1209,5.132,118.12087:7783 119.12422:535 120.12758:0,17444,17020,18057,16207,22857,25941
119.0517@1.486,119.0517,1.486,119.05172:3711 120.05507:316 121.05843:0,10509,12386,11562,12443,10170,12802
123.0475@1.517,123.0475,1.517,123.04754:10471 124.05089:761 125.05425:613,34284,34181,37843,33403,29526,29769
123.0548@5.217,123.0548,5.217,123.05485:3286 124.0582:0 125.06156:0,10172,8875,9480,6924,4891,5570
126.0522@4.966,126.0522,4.966,126.05224:44258 127.05559:2387 128.05895:511,157665,160648,149682,142719,133671,136675
126.0522@5.336,126.0522,5.336,126.05225:44807 127.0556:2365 128.05896:830,148854,89329,135473,88156,57002,58986
126.066@1.225,126.066,1.225,126.06602:4304 127.06937:395 128.07273:5422,16891,17809,14838,17668,18335,19771
129.0651@3.916,129.0651,3.916,129.06508:6623 130.06843:0 131.07179:2530,19762,18838,15845,18643,16835,12560
129.0652@3.74,129.0652,3.74,129.06525:11077 130.0686:0 131.07196:1403,61645,64370,55437,59671,59145,50211
129.0653@4.044,129.0653,4.044,129.06531:7550 130.06866:0 131.07202:1083,54404,50475,49461,32806,50897,34050
129.0654@4.177,129.0654,4.177,129.06543:7544 130.06878:0 131.07214:497,22844,28662,24883,43601,27655,17202
129.0657@4.311,129.0657,4.311,129.06567:5095 130.06902:0 131.07238:1070,15777,18978,17383,16781,16216,11869
130.0496@6.213,130.0496,6.213,130.04962:31282 131.05297:2413 132.05633:0,120966,115366,115316,115918,124550,111525
130.0598@3.511,130.0598,3.511,130.05975:16623 131.0631:869 132.06646:616,81393,90183,101248,12616,9004,6528
130.0628@0.806,130.0628,0.806,130.06277:4649 131.06612:1211 132.06948:450,11205,11253,9777,6360,9392,18015
130.086@0.947,130.086,0.947,130.08601:5943 131.08936:819 132.09272:6551,14050,19612,16758,17800,14938,7543
130.0861@5.181,130.0861,5.181,130.08607:214184 131.08942:16504 132.09278:6149,300297,360466,388011,501281,577731,589847
130.0863@3.133,130.0863,3.133,130.0863:16493 131.08965:1795 132.09301:1622,52052,57789,55194,42237,43426,23123
131.0815@5.093,131.0815,5.093,131.08154:4007 132.08489:0 133.08825:0,8171,6805,10411,8632,12719,10139
131.1175@4.125,131.1175,4.125,131.11751:54085 132.12086:4361 133.12422:656,136486,136793,134522,134375,134462,141092
132.0802@3.416,132.0802,3.416,132.08018:5579 133.08353:588 134.08689:0,14383,14138,16093,16261,16698,18275
132.1017@0.781,132.1017,0.781,132.10167:26837 133.10502:2561 134.10838:520,83761,39812,43965,64345,54290,43195
132.1129@4.173,132.1129,4.173,132.11288:123259 133.11623:8758 134.11959:835,297938,303840,300743,321063,307050,321468
133.0315@1.575,133.0315,1.575,133.03154:40818 134.03489:3482 135.03825:2204,154674,153142,147855,167311,170631,155095
133.0603@2.267,133.0603,2.267,133.06032:24719 134.06367:1090 135.06703:383,93461,90929,79992,116527,94661,94918
134.0188@5.662,134.0188,5.662,134.01883:35540 135.02218:948 136.02554:0,1263,2083,141737,744,1466,1366
134.044@3.562,134.044,3.562,134.04404:7270 135.04739:257 136.05075:0,23309,21892,21838,26697,24486,25445
134.0742@3.353,134.0742,3.353,134.07416:18791 135.07751:372 136.08087:1277,56783,60070,53166,5429,4066,3870
134.0745@3.511,134.0745,3.511,134.07448:128866 135.07783:2225 136.08119:6085,649566,986512,992225,8371,7988,7763
134.0806@5.646,134.0806,5.646,134.08063:12053 135.08398:2268 136.08734:508,33961,38192,21785,35090,38641,33795
134.0808@5.291,134.0808,5.291,134.0808:26081 135.08415:2063 136.08751:295,26218,52933,37922,56743,73093,72106
136.1116@3.145,136.1116,3.145,136.11163:8228 137.11498:633 138.11834:0,23704,25419,24599,22326,20443,21932
136.5897@7.179,136.5897,7.179,136.58972:6293 137.59307:0 138.59643:332,17640,18981,21696,20388,20037,19217
137.063@1.483,137.063,1.483,137.063:85096 138.06635:6410 139.06971:5742,282014,319861,292558,287924,251986,274690
138.0547@4.848,138.0547,4.848,138.0547:181588 139.05805:17432 140.06141:4458,433372,430928,436831,453216,442404,458285
138.0658@3.994,138.0658,3.994,138.0658:10161 139.06915:758 140.07251:1917,38684,37062,39722,32665,37818,37630
142.0859@1.165,142.0859,1.165,142.08591:15001 143.08926:949 144.09262:817,63291,63084,62464,66942,60460,64645
143.1175@3.536,143.1175,3.536,143.11749:13620 144.12084:2549 145.1242:202,29978,26993,26311,42952,40813,42469
144.08@0.889,144.08,0.889,144.07999:6058 145.08334:938 146.0867:553,20436,17339,20486,17972,16991,19087
144.0805@0.803,144.0805,0.803,144.08052:6782 145.08387:1339 146.08723:271,19821,21087,17701,22881,21355,21866
144.081@3.416,144.081,3.416,144.08099:2350051 145.08434:320956 146.0877:14395,7278606,7580740,7479368,7844996,7848616,8035018
144.1016@5.058,144.1016,5.058,144.10158:5154 145.10493:412 146.10829:241,15823,15159,13819,12172,17722,13617
145.097@4.184,145.097,4.184,145.09703:23522 146.10038:2553 147.10374:526,63684,76002,79174,57399,53814,33439
146.1173@4.271,146.1173,4.271,146.11729:361839 147.12064:65334 148.124:6139,910167,748333,787007,868709,967135,869983
147.0764@6.211,147.0764,6.211,147.0764:211939 148.07975:16263 149.08311:3352,632805,567043,569918,612255,606947,599755
148.0342@4.967,148.0342,4.967,148.03415:36267 149.0375:2880 150.04086:433,75910,80275,73918,68608,66411,71382
148.0346@5.333,148.0346,5.333,148.03461:172144 149.03796:8634 150.04132:1123,547561,59944,344813,35366,13860,5905
149.0738@1.23,149.0738,1.23,149.07376:67049 150.07711:4151 151.08047:5121,218650,178651,190928,218938,197243,306542
151.0422@1.575,151.0422,1.575,151.04216:130366 152.04551:10208 153.04887:5877,504604,509364,479032,545731,546576,485849
152.0845@6.434,152.0845,6.434,152.08453:10713 153.08788:0 154.09124:406,8650,9848,10109,24597,32626,29825
153.0386@1.575,153.0386,1.575,153.03862:5803 154.04197:370 155.04533:859,21845,22918,24013,22394,22359,22815
154.0587@5.612,154.0587,5.612,154.05867:10986 155.06202:654 156.06538:434,14831,8353,26932,7552,7665,8212
154.0971@4.183,154.0971,4.183,154.09708:45672 155.10043:4795 156.10379:1871,103616,116626,109066,120220,108332,117180
155.1171@1.162,155.1171,1.162,155.11714:3244 156.12049:0 157.12385:0,11254,9561,10265,13464,5598,16878
156.0763@7.42,156.0763,7.42,156.07635:185202 157.0797:13957 158.08306:1355,721965,701738,803018,894778,973502,1226256
156.0764@1.535,156.0764,1.535,156.07639:937262 157.07974:90550 158.0831:8163,3538263,3536605,3579014,4212066,4033586,4208496
157.0602@6.457,157.0602,6.457,157.06023:6988 158.06358:0 159.06694:289,43394,50553,45701,40216,30744,27058
157.0603@6.111,157.0603,6.111,157.0603:7933 158.06365:480 159.06701:0,33216,31641,27126,24909,25936,15103
157.0969@0.949,157.0969,0.949,157.09694:6240 158.10029:580 159.10365:442,9761,12716,15759,9997,9682,5165
158.9635@5.379,158.9635,5.379,158.96353:8311 159.96688:0 160.97024:0,39365,486,50306,198,8.9024543762207,163
158.9637@5.162,158.9637,5.162,158.96367:22282 159.96702:454 160.97038:281,77132,26270,12253,4075,6233,3521
158.9638@5.301,158.9638,5.301,158.96379:37683 159.96714:1141 160.9705:235,114622,822,42476,2301,114,357
159.1128@3.811,159.1128,3.811,159.11284:46849 160.11619:4869 161.11955:1683,113915,128431,146854,106439,109413,58470
159.1131@4.545,159.1131,4.545,159.11314:3722 160.11649:0 161.11985:0,11291,10194,14240,12232,13056,7853
160.0366@4.847,160.0366,4.847,160.03662:16297 161.03997:2088 162.04333:248,35800,35475,38584,36048,35877,38471
160.0965@1.165,160.0965,1.165,160.0965:100822 161.09985:7788 162.10321:5067,400807,419115,408598,439568,390001,400109
160.0967@4.114,160.0967,4.114,160.09666:21646 161.10001:4475 162.10337:316,69408,72223,67838,59615,58131,70534
160.1071@4.181,160.1071,4.181,160.10712:27837 161.11047:5163 162.11383:551,67793,64223,66886,70608,67377,74819
160.133@4.021,160.133,4.021,160.13304:52654 161.13639:5678 162.13975:623,124735,137949,124470,129501,112468,121909
160.9644@0.776,160.9644,0.776,160.96442:4375 161.96777:0 162.97113:0,4459,10074,6665,5418,7019,4920
161.1078@3.416,161.1078,3.416,161.10782:2900442 162.11117:446907 163.11453:20456,9684788,10009329,9752228,10184758,10181345,10455566
162.0495@4.584,162.0495,4.584,162.04953:6043 163.05288:0 164.05624:0,16155,16570,14854,18019,15654,17923
162.0496@4.901,162.0496,4.901,162.04958:5001 163.05293:533 164.05629:0,12043,11228,12543,9683,11189,9878
165.0578@1.45,165.0578,1.45,165.05777:4744 166.06112:577 167.06448:787,14996,17496,15494,18191,14434,14796
167.045@1.872,167.045,1.872,167.045:19389 168.04835:1480 169.05171:354,180871,183087,156116,134605,133080,117678
167.0808@4.468,167.0808,4.468,167.08081:6648 168.08416:667 169.08752:0,15290,15509,14094,17223,15449,17472
168.1018@0.777,168.1018,0.777,168.10175:13837 169.1051:2324 170.10846:888,32541,33034,38415,36215,33779,32229
169.0578@6.21,169.0578,6.21,169.0578:4044 170.06115:0 171.06451:390,11379,11012,11511,10956,11743,10751
170.0557@1.262,170.0557,1.262,170.05569:14238 171.05904:1664 172.0624:553,33984,37210,36396,55745,45541,49866
171.1484@3.13,171.1484,3.13,171.14844:3730 172.15179:503 173.15515:0,11920,11505,11532,13062,11087,12261
173.0241@1.576,173.0241,1.576,173.02409:4680 174.02744:276 175.0308:477,16506,17158,17366,18016,19253,16129
173.0668@3.511,173.0668,3.511,173.06676:27872 174.07011:2293 175.07347:1252,139554,182045,142944,3475,3277,1956
173.0669@3.353,173.0669,3.353,173.06686:13993 174.07021:572 175.07357:661,41644,41231,39783,3170,2733,2689
173.074@1.192,173.074,1.192,173.07405:4355 174.0774:791 175.08076:1893,10867,12978,16289,9955,16458,19906
174.0497@5.179,174.0497,5.179,174.04973:15542 175.05308:1461 176.05644:289,41890,38073,29912,18232,11181,8622
174.112@3.919,174.112,3.919,174.112:9808 175.11535:1441 176.11871:0,19250,24602,22905,19558,20429,24152
176.0476@1.955,176.0476,1.955,176.04762:9306 177.05097:498 178.05433:313,6405,11715,9656,59155,51397,42476
176.0553@2.813,176.0553,2.813,176.0553:8539 177.05865:736 178.06201:0,39613,35074,36494,29291,28750,27014
176.0652@4.671,176.0652,4.671,176.06517:14035 177.06852:1417 178.07188:340,48515,39126,43316,46627,50508,51681
176.0916@5.401,176.0916,5.401,176.09155:12328 177.0949:1567 178.09826:1891,24928,32413,21078,29172,28189,30614
177.0801@3.353,177.0801,3.353,177.08012:4833 178.08347:160049 179.08683:3304,14343,14044,12275,326,941,630
177.0802@3.513,177.0802,3.513,177.0802:8586 178.08355:275710 179.08691:5209,38934,37028,48524,129,204,193
177.087@3.741,177.087,3.741,177.08696:8999 178.09031:42732 179.09367:878,41406,30552,41523,36278,32371,25333
177.1017@3.836,177.1017,3.836,177.10173:29778 178.10508:4372 179.10844:596,55988,59142,55695,60755,65563,57168
177.1019@3.988,177.1019,3.988,177.10187:122595 178.10522:14295 179.10858:1219,319156,336270,329479,346522,352852,322184
178.0237@4.575,178.0237,4.575,178.02367:7599 179.02702:0 180.03038:769,22771,23424,20766,20242,19304,19815
178.0531@0.807,178.0531,0.807,178.0531:7095 179.05645:393 180.05981:978,20239,17602,20864,16581,14643,15774
178.0838@3.511,178.0838,3.511,178.0838:256624 179.08715:6034 180.09051:18076,1841096,2023940,2017454,16805,13608,15972
178.0839@3.353,178.0839,3.353,178.08386:138327 179.08721:3304 180.09057:11804,394700,379201,366389,18383,15263,13665
179.0673@5.312,179.0673,5.312,179.06729:5480 180.07064:395 181.074:338,1723,3395,2451,12970,12233,13275
180.0875@3.353,180.0875,3.353,180.08749:9572 181.09084:404 182.0942:736,33367,29469,28755,3765,4198,2686
180.088@3.511,180.088,3.511,180.088:16629 181.09135:342 182.09471:204,86448,64898,93603,2189,1443,2492
180.1015@4.274,180.1015,4.274,180.10152:59632 181.10487:7637 182.10823:1099,159156,159242,151703,157731,145747,150382
180.102@2.374,180.102,2.374,180.10201:8634 181.10536:3032 182.10872:1269,41715,40975,41159,31466,33473,34757
184.0935@4.916,184.0935,4.916,184.09348:8005 185.09683:1509 186.10019:0,16859,19681,18004,20684,17554,18109
184.0971@0.892,184.0971,0.892,184.09706:8231 185.10041:956 186.10377:1461,27566,28165,27404,27130,26602,26938
185.1068@6.736,185.1068,6.736,185.1068:11423 186.11015:5682 187.11351:433,4303,19051,85941,872,759,6375
185.1637@3.005,185.1637,3.005,185.16374:5696 186.16709:1085 187.17045:506,19916,19073,19779,20125,18961,19872
186.069@0.856,186.069,0.856,186.06902:25767 187.07237:2647 188.07573:2896,73831,66665,73203,66708,79957,79058
186.0691@0.929,186.0691,0.929,186.06909:13400 187.07244:2338 188.0758:9390,36784,34611,33498,49097,44925,35682
186.1146@4.439,186.1146,4.439,186.11462:5842 187.11797:656 188.12133:0,2958,22120,40844,2133,1537,4866
186.123@4.702,186.123,4.702,186.12297:5239 187.12632:975 188.12968:215,11904,13200,14749,12480,11670,12247
188.1274@3.713,188.1274,3.713,188.12741:4965 189.13076:679 190.13412:0,16669,15339,15410,16945,16303,19698
188.1274@0.897,188.1274,0.897,188.12743:48426 189.13078:10827 190.13414:3708,98508,113674,111381,115733,104986,123860
188.1388@7.016,188.1388,7.016,188.13882:5924 189.14217:2390 190.14553:0,18772,23394,23307,21831,24876,14985
188.175@6.898,188.175,6.898,188.17496:49130 189.17831:6883 190.18167:2174,74342,80294,71728,120605,139610,186962
188.1751@7.017,188.1751,7.017,188.17506:4318 189.17841:0 190.18177:13588,10323,8439,1927,14056,15239,20728
189.0775@0.792,189.0775,0.792,189.07748:5973 190.08083:16831 191.08419:1814,9626,4552,5682,10214,8438,5298
189.1228@5.376,189.1228,5.376,189.12285:14436 190.1262:3393 191.12956:745,15616,22095,15759,28553,35952,36645
189.123@4.691,189.123,4.691,189.12303:8118 190.12638:1038 191.12974:341,21836,22850,18720,19410,18956,19697
190.0861@0.805,190.0861,0.805,190.08606:52141 191.08941:9020 192.09277:1041,166463,162538,168768,166162,157448,162270
190.107@5.108,190.107,5.108,190.10704:598394 191.11039:94621 192.11375:26767,990610,828670,1200047,1027624,1288159,1497363
190.1071@3.666,190.1071,3.666,190.10706:8760 191.11041:985 192.11377:793,20359,26256,23783,17060,16533,9569
191.102@7.939,191.102,7.939,191.10202:4478 192.10537:906 193.10873:256,18967,22784,20571,24964,18919,22662
191.9621@0.776,191.9621,0.776,191.96213:3460 192.96548:372 193.96884:2203,3011,6563,5380,3558,3631,4283
192.068@0.785,192.068,0.785,192.06798:3262 193.07133:0 194.07469:928,7550,6475,6539,6501,5937,7066
193.0839@2.774,193.0839,2.774,193.08389:3782 194.08724:240 195.0906:981,11164,14786,16243,369,145,60
193.0992@4.554,193.0992,4.554,193.09918:5382 194.10253:783 195.10589:0,10600,10670,9970,12300,11632,14332
194.0809@0.804,194.0809,0.804,194.0809:7798 195.08425:1479 196.08761:880,16363,13683,15194,9918,12142,14267
194.0896@5.507,194.0896,5.507,194.08958:7425 195.09293:732 196.09629:0,21120,8222,19650,5600,5333,5287
194.0954@4.875,194.0954,4.875,194.09538:3626 195.09873:0 196.10209:473,148,177,98,11126,10220,10791
195.0902@5.314,195.0902,5.314,195.09016:4903 196.09351:14278 197.09687:1320,909,1888,1424,12955,10843,12185
196.0939@5.314,196.0939,5.314,196.09393:11603 197.09728:1320 198.10064:1388,3575,7562,4261,29823,26914,27673
198.0869@5.659,198.08690000000001,5.659,198.08694:48141 199.09029:4986 200.09365:665,97964,120702,25081,122485,116030,121171
201.0845@5.668,201.0845,5.668,201.08449:3970 202.08784:287 203.0912:0,2740,2345,10512,4236,3249,3181
202.107@1.271,202.107,1.271,202.10703:4441 203.11038:688 204.11374:2651,17778,18281,18681,23758,18864,14721
202.1336@2.953,202.1336,2.953,202.13356:17136 203.13691:2831 204.14027:0,49036,60621,64201,52848,54486,28238
203.0813@0.955,203.0813,0.955,203.0813:7974 204.08465:2968 205.08801:596,21880,22755,24617,19145,22232,12894
203.1174@0.801,203.1174,0.801,203.11745:87946 204.1208:18982 205.12416:7370,201225,203997,167515,260204,187127,263927
203.139@4.452,203.139,4.452,203.13901:3134 204.14236:646 205.14572:206,8306,9329,8521,8060,9495,8481
204.1233@3.464,204.1233,3.464,204.12326:3241 205.12661:1023 206.12997:504,8320,9349,8833,7830,7868,4732
204.1233@4.878,204.1233,4.878,204.12331:3378 205.12666:0 206.13002:378,8240,8162,8867,8179,6832,8038
205.0093@3.731,205.0093,3.731,205.00925:7719 206.0126:885 207.01596:426,18833,18289,21342,17656,18535,19864
206.0817@0.96,206.0817,0.96,206.08173:13266 207.08508:1936 208.08844:0,60181,57774,63094,49058,53174,54957
