id,mz,rt,ms1_isotopes,hyuA_13CUA_1,hyuA_13CUA_2,hyuA_13CUA_3,WT_13CUA_1,WT_13CUA_2,WT_13CUA_3
502.2618@4.785,502.2618,4.785,502.26175:3162 503.2651:945 504.26846:245,15285,17296,17140,14153,18582,15672
503.4033@4.567,503.4033,4.567,503.40329:6957 504.40664:2061 505.41:0,23586,22784,25290,25961,25811,26192
507.1791@5.173,507.1791,5.173,507.17905:11089 508.1824:3060 509.18576:602,48538,38811,16492,14610,7150,4384
509.2346@2.122,509.2346,2.122,509.23465:4802 510.238:1007 511.24136:580,30423,27331,29242,28256,23231,31575
511.2274@5.386,511.2274,5.386,511.22736:26535 512.23071:8335 513.23407:2106,55086,74169,47774,84135,86693,89853
511.2494@6.277,511.2494,6.277,511.24942:14488 512.25277:7264 513.25613:1416,68024,64494,70419,71737,69051,76240
512.1946@7.091,512.1946,7.091,512.19458:8875 513.19793:2452 514.20129:607,17654,19196,17147,18837,23701,27663
512.2065@5.679,512.2065,5.679,512.20654:11212 513.20989:5231 514.21325:0,340,286,27317,250,268,551
512.2341@7.161,512.2341,7.161,512.23407:4751 513.23742:1489 514.24078:637,16900,17057,18093,21914,21357,23971
512.2693@5.86,512.2693,5.86,512.26929:11475 513.27264:3493 514.276:960,31473,27604,29722,29869,35549,34982
516.3121@6.859,516.3121,6.859,516.31207:3326 517.31542:1563 518.31878:462,4474,4966,7585,6108,10353,11306
522.2897@2.936,522.2897,2.936,522.28967:3503 523.29302:920 524.29638:595,18391,16531,18559,19672,18840,18805
523.17@5.334,523.17,5.334,523.16998:7375 524.17333:1874 525.17669:547,16527,3649,15635,477,8.21027297973633,8.21027297973633
523.2468@5.7,523.2468,5.7,523.24677:3919 524.25012:1670 525.25348:513,19996,19872,22227,16884,19249,22853
524.306@5.068,524.306,5.068,524.30603:22266 525.30938:6839 526.31274:1464,34951,23220,40410,34608,58132,64618
527.2121@6.875,527.2121,6.875,527.2121:3463 528.21545:602 529.21881:855,9691,10971,13487,5946,4429,765
528.2653@6,528.2653,6,528.26532:7300 529.26867:2913 530.27203:831,23403,25495,25616,23877,25382,26038
528.2664@6.178,528.2664,6.178,528.26636:5797 529.26971:2260 530.27307:669,28844,30536,30244,28441,26680,28223
529.2223@7.245,529.2223,7.245,529.22229:4289 530.22564:460 531.229:367,15906,14737,15480,16529,15984,17305
529.2956@6.94,529.2956,6.94,529.29565:4977 530.299:1337 531.30236:547,13448,16557,12721,18077,18817,18929
530.2615@0.925,530.2615,0.925,530.26154:3937 531.26489:1370 532.26825:592,10459,9890,11542,8099,8697,8632
531.2418@6.4,531.2418,6.4,531.24176:7469 532.24511:2842 533.24847:867,26428,26142,27634,23073,25479,26649
531.348@8.127,531.348,8.127,531.34802:4871 532.35137:1401 533.35473:293,26630,25711,24053,26152,25751,24021
532.2052@3.054,532.2052,3.054,532.2052:5259 533.20855:1205 534.21191:457,16751,14099,15662,16169,16375,16998
532.2354@3.51,532.2354,3.51,532.23535:4355 533.2387:476 534.24206:684,10346,9715,10204,234,291,379
532.2748@3.424,532.2748,3.424,532.27484:23781 533.27819:8164 534.28155:1724,58650,59286,58357,65840,66077,60091
533.2123@5.383,533.2123,5.383,533.21234:4608 534.21569:1321 535.21905:400,14398,12914,14644,13653,13309,14299
534.0989@5.334,534.0989,5.334,534.09894:7529 535.10229:1328 536.10565:233,20039,976,11894,15.363249206543,15.363249206543,15.363249206543
535.2359@3.548,535.2359,3.548,535.2359:5737 536.23925:1292 537.24261:645,16830,17774,16403,463,75,64
536.233@6.005,536.233,6.005,536.23297:7327 537.23632:3799 538.23968:721,17329,15318,13523,24626,23477,20111
538.3342@4.623,538.3342,4.623,538.33423:6608 539.33758:2259 540.34094:700,12755,13290,12978,12282,12081,13299
539.2919@5.704,539.2919,5.704,539.29187:9478 540.29522:3291 541.29858:1626,34557,37363,25074,35208,36464,37282
540.2274@5.266,540.2274,5.266,540.22736:6719 541.23071:2882 542.23407:891,16577,28172,20656,26633,29204,30984
540.2415@6.328,540.2415,6.328,540.24152:10185 541.24487:3087 542.24823:1960,74577,83504,85100,65563,62528,41250
544.2714@7.953,544.2714,7.953,544.27136:5763 545.27471:1295 546.27807:472,33521,31822,32118,31690,34656,32965
546.2756@4.59,546.2756,4.59,546.27563:15359 547.27898:5597 548.28234:1234,41902,38858,41811,37277,42498,41858
546.4247@3.409,546.4247,3.409,546.42468:9603 547.42803:3788 548.43139:878,42773,30699,43953,56466,60760,20909
547.2126@7.25,547.2126,7.25,547.21259:3421 548.21594:1496 549.2193:377,10669,11263,11357,11393,10261,9946
550.2702@3.411,550.2702,3.411,550.2702:4219 551.27355:1616 552.27691:426,13523,13977,13445,10524,12719,15212
551.2388@4.495,551.2388,4.495,551.23877:4478 552.24212:1940 553.24548:1029,10698,10898,10961,11123,10154,10695
554.1859@3.056,554.1859,3.056,554.18591:3806 555.18926:1203 556.19262:330,10916,10850,10847,10659,11254,12173
554.3027@7.196,554.3027,7.196,554.30267:4249 555.30602:1528 556.30938:415,11897,11240,11125,14124,15430,18263
555.2762@6.163,555.2762,6.163,555.27625:124633 556.2796:34479 557.28296:6320,482854,459871,419033,495331,419085,449607
555.3093@5.5,555.3093,5.5,555.30933:6134 556.31268:1863 557.31604:1709,21573,19770,12267,25456,35499,32787
557.1034@5.102,557.1034,5.102,557.10345:3302 558.1068:644 559.11016:285,5368,7453,2488,3102,206,107
557.2956@0.929,557.2956,0.929,557.29559:12361 558.29894:5060 559.3023:1518,34693,42060,31656,30845,32520,45733
557.303@7.14,557.303,7.14,557.30298:6351 558.30633:2167 559.30969:921,19512,22490,21801,20469,23505,24515
557.3058@3.405,557.3058,3.405,557.30579:14019 558.30914:5281 559.3125:1175,33922,33579,32494,42284,43142,48614
558.2868@6.599,558.2868,6.599,558.2868:18255 559.29015:5560 560.29351:1431,60059,70571,79548,62479,74516,76019
562.2595@4.248,562.2595,4.248,562.25952:3435 563.26287:1125 564.26623:298,12845,12471,13275,11662,13296,13820
569.2295@4.922,569.2295,4.922,569.22949:6587 570.23284:1936 571.2362:0,16802,14813,14540,17954,16715,18850
569.2934@6.063,569.2934,6.063,569.2934:6512 570.29675:2113 571.30011:530,27295,25761,27704,23088,23516,26449
569.3254@6.908,569.3254,6.908,569.32538:6340 570.32873:2199 571.33209:775,12942,12126,11181,17172,23703,26729
570.2776@1.531,570.2776,1.531,570.27765:3822 571.281:1445 572.28436:477,14586,15585,16751,18586,19356,17920
571.2086@5.423,571.2086,5.423,571.20862:7276 572.21197:2407 573.21533:846,13875,7607,19775,6857,5344,6415
573.2498@6.727,573.2498,6.727,573.24982:32023 574.25317:10626 575.25653:2602,92296,86284,81585,98426,85388,88725
573.3112@4.31,573.3112,4.31,573.31122:5228 574.31457:1749 575.31793:352,21097,20908,20005,22866,22897,23138
574.2846@3.333,574.2846,3.333,574.28455:3970 575.2879:1952 576.29126:792,13622,12209,11884,1236,2353,2400
575.1663@5.171,575.1663,5.171,575.16626:5773 576.16961:1186 577.17297:411,25689,19703,13232,4073,1000,537
575.311@3.434,575.311,3.434,575.31104:4258 576.31439:1709 577.31775:392,14622,15773,22319,21927,27832,21173
576.3221@7.236,576.3221,7.236,576.32214:4904 577.32549:1611 578.32885:523,26359,26396,24582,28594,33395,35429
577.2455@7.248,577.2455,7.248,577.24554:10021 578.24889:2622 579.25225:653,33482,28067,29630,29611,30158,32744
577.2576@6.165,577.2576,6.165,577.25757:20647 578.26092:6394 579.26428:1832,80824,77445,69999,78133,71251,70423
577.2798@8.002,577.2798,8.002,577.27979:4875 578.28314:1618 579.2865:3382,19665,18013,18163,16989,18293,16199
578.1749@5.651,578.1749,5.651,578.17493:3553 579.17828:827 580.18164:712,143,6.46792221069336,7503,79,105,6.46792221069336
579.2777@0.927,579.2777,0.927,579.27771:15034 580.28106:7035 581.28442:973,33978,37522,33959,36830,35538,33953
585.2498@7.285,585.2498,7.285,585.24976:9241 586.25311:3117 587.25647:866,29269,29403,30315,30935,30617,38012
587.318@3.514,587.318,3.514,587.31799:4877 588.32134:2505 589.3247:442,2097,6117,5179,19382,17127,17034
588.301@4.764,588.301,4.764,588.30096:83740 589.30431:31940 590.30767:7231,187539,215135,225048,193667,235622,239401
589.2478@6.327,589.2478,6.327,589.2478:14968 590.25115:4375 591.25451:761,26976,24227,26820,35365,29300,31978
589.2735@6.523,589.2735,6.523,589.2735:144358 590.27685:44093 591.28021:8484,564225,552715,575695,526935,553709,564731
591.1569@5.334,591.1569,5.334,591.15692:8926 592.16027:2012 593.16363:465,21227,855,14138,85.5006591796875,85.5006591796875,85.5006591796875
592.3282@7.101,592.3282,7.101,592.32819:4185 593.33154:1143 594.3349:529,3447,3347,3372,6509,8711,11357
594.322@5.391,594.322,5.391,594.32196:3660 595.32531:2128 596.32867:415,8767,11664,7025,12881,13826,13486
594.3227@5.577,594.3227,5.577,594.32269:423601 595.32604:145589 596.3294:27706,987482,1204381,682977,1170426,1299941,1334433
599.3278@5.088,599.3278,5.088,599.32776:13732 600.33111:5160 601.33447:982,44250,35973,54748,51665,58951,68973
600.2602@7.008,600.2602,7.008,600.26025:4863 601.2636:1897 602.26696:701,18759,17754,18211,22078,22402,23168
600.3202@4.265,600.3202,4.265,600.32019:4553 601.32354:2719 602.3269:544,10759,9570,8449,11747,11135,10478
601.3704@6.225,601.3704,6.225,601.37042:6811 602.37377:3226 603.37713:737,29148,32413,33755,23638,28082,29027
602.0869@5.329,602.0869,5.329,602.08691:4188 603.09026:853 604.09362:0,12275,198,5377,19.8374984741211,19.8374984741211,19.8374984741211
603.3336@6.648,603.3336,6.648,603.33356:9088 604.33691:2781 605.34027:1097,31469,34436,35689,33470,34706,36585
604.3156@5.105,604.3156,5.105,604.31555:4209 605.3189:1558 606.32226:605,3903,2158,5556,4879,6688,9329
608.3372@5.064,608.3372,5.064,608.33722:8243 609.34057:4203 610.34393:504,15794,10613,19831,16304,23946,26975
610.183@0.646,610.183,0.646,610.18298:30144 611.18633:20741 612.18969:14904,74647,18644,7567,17525,12819,75076
610.2819@4.768,610.2819,4.768,610.28192:8169 611.28527:3036 612.28863:454,19787,20312,24675,20082,22579,24619
611.253@6.526,611.253,6.526,611.25305:3514 612.2564:1216 613.25976:0,13195,13789,13200,11368,11820,11266
612.2686@5.105,612.2686,5.105,612.26862:4658 613.27197:2574 614.27533:1175,3510,2500,5423,3981,6698,9274
614.2747@5.179,614.2747,5.179,614.27466:5604 615.27801:1990 616.28137:0,9477,12295,12571,13876,14385,14831
614.313@6.208,614.313,6.208,614.31299:17989 615.31634:7030 616.3197:1555,57482,50155,52387,54872,52105,52558
616.3045@5.578,616.3045,5.578,616.3045:81429 617.30785:29081 618.31121:5646,214237,234844,190615,214824,232477,249742
618.2966@4.598,618.2966,4.598,618.29657:6657 619.29992:2294 620.30328:695,15663,14027,15996,15068,15352,16459
619.3068@5.581,619.3068,5.581,619.30676:14169 620.31011:5714 621.31347:1360,43620,46292,36253,45402,45916,47987
620.463@2.892,620.463,2.892,620.46295:6901 621.4663:2393 622.46966:532,20096,21344,20663,11364,12408,9909
622.3163@4.894,622.3163,4.894,622.31628:5746 623.31963:2014 624.32299:1076,14742,14015,14713,15536,15431,16587
623.2359@5.673,623.2359,5.673,623.2359:9214 624.23925:3603 625.24261:927,7.06266937255859,108,22508,81,95,7.06266937255859
624.3323@5.35,624.3323,5.35,624.33228:5609 625.33563:1953 626.33899:460,7373,15330,9286,16299,18745,20470
624.3341@5.723,624.3341,5.723,624.33405:4195 625.3374:2220 626.34076:616,19315,21639,12885,17625,17268,19926
625.3615@6.817,625.3615,6.817,625.36151:4141 626.36486:1681 627.36822:798,1788,1874,7759,9269,13138,14477
627.4059@4.561,627.4059,4.561,627.40588:3126 628.40923:1366 629.41259:0,1306,5404,10168,334,6505,7842
628.3289@4.934,628.3289,4.934,628.32886:29828 629.33221:12266 630.33557:3656,66799,62265,64649,61717,60871,66328
630.3188@5.063,630.3188,5.063,630.31885:3621 631.3222:1634 632.32556:484,7072,4553,8297,6800,10751,12711
631.3058@3.978,631.3058,3.978,631.30585:5249 632.3092:2014 633.31256:446,9738,8486,8580,13824,9373,13112
632.2796@5.577,632.2796,5.577,632.2796:3561 633.28295:1487 634.28631:0,4480,10713,1109,9051,10519,11212
632.324@7.75,632.324,7.75,632.32397:21605 633.32732:0 634.33068:5057,73339,78862,78155,70899,67901,66717
634.2535@5.107,634.2535,5.107,634.25348:4336 635.25683:2427 636.26019:1512,5088,4218,7970,5139,7490,8802
635.3164@3.425,635.3164,3.425,635.31641:11768 636.31976:5678 637.32312:936,28920,28563,27134,31653,31962,31067
636.2583@5.18,636.2583,5.18,636.2583:4784 637.26165:1903 638.26501:0,9981,12204,12000,10096,8836,7558
637.2803@6.269,637.2803,6.269,637.28033:20538 638.28368:7364 639.28704:2174,43868,48313,55945,46850,61807,63328
638.2875@5.579,638.2875,5.579,638.28748:20376 639.29083:7664 640.29419:1634,21471,6492,70744,5253,6011,6196
640.294@5.829,640.294,5.829,640.29395:17829 641.2973:5668 642.30066:1666,86777,98219,88625,76962,86549,72809
641.2878@6.643,641.2878,6.643,641.28778:7477 642.29113:0 643.29449:0,26447,25237,25465,27811,25371,26938
641.2899@5.582,641.2899,5.582,641.28986:3643 642.29321:1857 643.29657:201,11636,11128,11006,10659,10116,11746
641.3046@8.065,641.3046,8.065,641.30457:9745 642.30792:2867 643.31128:736,50540,71340,86440,71145,62050,91477
642.3087@6.615,642.3087,6.615,642.30872:224056 643.31207:77962 644.31543:14797,670367,759171,759054,564713,620986,668935
643.1552@5.178,643.1552,5.178,643.15515:3859 644.1585:1087 645.16186:266,16250,10155,2881,1476,206,97
644.3335@7.312,644.3335,7.312,644.3335:6534 645.33685:2524 646.34021:784,17754,17877,17872,20447,19275,28263
645.2836@3.296,645.2836,3.296,645.28363:3606 646.28698:1449 647.29034:343,13198,12310,13928,16052,16679,16346
646.4791@2.86,646.4791,2.86,646.47913:6185 647.48248:3297 648.48584:5469,20528,21529,19056,13400,14682,12303
648.2157@5.334,648.2157,5.334,648.2157:7209 649.21905:2292 650.22241:358,12635,3145,16103,71,92,7.09057464599609
648.4934@2.864,648.4934,2.864,648.49341:5306 649.49676:2454 650.50012:840,18314,18485,17952,13560,15373,13905
651.2938@5.543,651.2938,5.543,651.29382:7269 652.29717:2239 653.30053:789,18632,16695,30102,15037,16068,19091
654.3066@5.16,654.3066,5.16,654.30664:26797 655.30999:9993 656.31335:2444,35796,38398,50036,56189,59798,71572
654.3409@5.873,654.3409,5.873,654.34094:5692 655.34429:3969 656.34765:1778,32092,35303,29263,29978,26809,48629
654.6106@4.573,654.6106,4.573,654.6106:6304 655.61395:2401 656.61731:0,22545,13027,23097,25345,26084,28319
656.2339@5.106,656.2339,5.106,656.23389:3287 657.23724:976 658.2406:356,5509,4000,6801,4853,4721,4137
657.3191@4.543,657.3191,4.543,657.31909:9883 658.32244:4346 659.3258:1120,38310,37184,37270,46600,44432,47510
659.1444@5.334,659.1444,5.334,659.14435:7468 660.1477:2181 661.15106:540,19987,1065,14570,7.46142730712891,7.46142730712891,75
659.2852@6.515,659.2852,6.515,659.28522:4286 660.28857:1886 661.29193:558,16705,13554,12930,20402,16175,17410
664.2896@6.614,664.2896,6.614,664.28955:17660 665.2929:7700 666.29626:1807,49647,57435,60222,42836,49118,54608
665.3599@5.399,665.3599,5.399,665.35986:7058 666.36321:2739 667.36657:724,18127,25851,16434,26139,29240,30283
668.3954@5.053,668.3954,5.053,668.39545:9883 669.3988:4306 670.40216:712,25033,29165,51232,13887,39980,40376
668.3967@4.908,668.3967,4.908,668.39667:41193 669.40002:14804 670.40338:2840,144333,207875,261565,50164,175562,173909
669.3582@2.887,669.3582,2.887,669.35815:6681 670.3615:2835 671.36486:987,33023,33037,32725,32880,33873,35620
670.3376@6.051,670.3376,6.051,670.33759:6441 671.34094:2656 672.3443:1911,16181,11302,9627,29920,24616,22910
670.3408@6.09,670.3408,6.09,670.34082:4435 671.34417:2492 672.34753:0,13339,8751,10102,25814,17832,19085
672.3193@6.017,672.3193,6.017,672.31927:5576 673.32262:3201 674.32598:617,21680,20943,20388,24094,23359,23206
674.2792@7.173,674.2792,7.173,674.27924:6474 675.28259:2710 676.28595:710,23981,22806,21977,27043,32204,32229
674.5088@2.831,674.5088,2.831,674.50879:5275 675.51214:2252 676.5155:1353,17621,19668,17904,12768,12069,11874
675.6719@0.89,675.6719,0.89,675.67194:4133 676.67529:1831 677.67865:737,13318,10141,10882,11363,10189,13996
676.2887@5.16,676.2887,5.16,676.2887:10211 677.29205:3801 678.29541:1226,23880,25486,25332,26136,24384,24825
677.2951@6.483,677.2951,6.483,677.2951:5665 678.29845:0 679.30181:0,32856,32136,33142,32338,32296,33163
678.3166@7.312,678.3166,7.312,678.31665:3412 679.32:1259 680.32336:304,8179,7382,8328,8525,7569,11885
679.3015@4.555,679.3015,4.555,679.30145:4393 680.3048:1424 681.30816:0,15600,13245,13896,17378,16387,19251
681.3514@5.725,681.3514,5.725,681.35138:4018 682.35473:1345 683.35809:585,11789,12719,7752,11959,11685,12854
681.354@5.889,681.354,5.889,681.354:4722 682.35735:1748 683.36071:663,11749,13749,11802,13847,14568,15541
682.6436@4.568,682.6436,4.568,682.64362:4753 683.64697:1815 684.65033:0,19030,19082,21052,19854,21096,22046
684.1998@0.642,684.1998,0.642,684.19983:24836 685.20318:17874 686.20654:14740,61923,15626,2527,12937,2973,65413
684.3168@6.415,684.3168,6.415,684.31683:8985 685.32018:3926 686.32354:1086,37690,36747,36626,45318,47764,49167
686.3083@5.534,686.3083,5.534,686.30829:10745 687.31164:3324 688.315:863,12471,7075,32882,4400,5314,4853
687.3177@3.559,687.3177,3.559,687.31769:7228 688.32104:2360 689.3244:1195,14987,14217,13765,21231,19835,21780
690.3768@5.047,690.3768,5.047,690.37683:5069 691.38018:1645 692.38354:483,12283,13553,25349,7522,19951,20439
690.3784@4.928,690.3784,4.928,690.37836:15323 691.38171:6945 692.38507:1379,48177,68204,84352,24419,60395,60866
690.5054@2.905,690.5054,2.905,690.50537:4551 691.50872:1725 692.51208:939,13425,13146,12829,10419,9284,9464
695.2752@4.542,695.2752,4.542,695.27521:10008 696.27856:5352 697.28192:1357,35216,33660,33595,36283,34561,38709
695.3686@5.704,695.3686,5.704,695.36859:5032 696.37194:2737 697.3753:676,12598,11172,7041,12773,15206,15667
697.6326@3.424,697.6326,3.424,697.63257:9241 698.63592:4580 699.63928:947,33371,33526,50769,60335,42492,43491
705.3548@3.955,705.3548,3.955,705.3548:55182 706.35815:23944 707.36151:5347,122569,109415,108366,142266,110032,141579
706.2737@5.579,706.2737,5.579,706.27374:6473 707.27709:2286 708.28045:1304,1327,124,21229,71,202,155
708.2901@5.54,708.2901,5.54,708.2901:4202 709.29345:1557 710.29681:731,2100,11.294580078125,15312,11.294580078125,113,405
709.3489@5.889,709.3489,5.889,709.34888:8592 710.35223:3475 711.35559:859,32014,35095,33409,31246,28836,31022
710.3086@7.565,710.3086,7.565,710.30859:15924 711.31194:5712 712.3153:1606,66092,76059,76523,50636,66028,66910
711.2498@4.535,711.2498,4.535,711.24982:9265 712.25317:4011 713.25653:2050,21756,24930,25237,21742,19790,25108
712.324@5.501,712.324,5.501,712.32404:9328 713.32739:4087 714.33075:942,25457,14751,35708,16415,15417,14468
712.3597@4.923,712.3597,4.923,712.35974:6571 713.36309:3068 714.36645:871,13955,19492,23024,6294,17176,17083
715.2756@2.829,715.2756,2.829,715.27563:4399 716.27898:1742 717.28234:620,21271,19227,18315,20482,19411,21292
715.3123@3.562,715.3123,3.562,715.31226:39857 716.31561:15342 717.31897:3253,80639,75417,77522,103852,96233,102810
716.2012@5.334,716.2012,5.334,716.20123:8028 717.20458:2584 718.20794:555,18027,912,16180,91.2494018554688,91.2494018554688,91.2494018554688
718.5355@2.876,718.5355,2.876,718.53552:3566 719.53887:1015 720.54223:412,11993,11094,10033,10261,9902,10264
720.3365@6.939,720.3365,6.939,720.33649:3804 721.33984:1406 722.3432:805,6826,13778,14934,20493,21804,24141
720.3784@4.138,720.3784,4.138,720.37836:18049 721.38171:8372 722.38507:2090,101419,97367,98430,105640,101977,110939
725.6639@3.42,725.6639,3.42,725.66388:8101 726.66723:4259 727.67059:736,16165,26615,42352,17523,35983,38505
727.1315@5.334,727.1315,5.334,727.13147:4047 728.13482:897 729.13818:285,10937,174,6690,17.4467422485352,17.4467422485352,17.4467422485352
727.3953@5.729,727.3953,5.729,727.39532:3605 728.39867:1717 729.40203:0,16338,10023,9573,19780,16917,17032
728.3558@6.598,728.3558,6.598,728.35583:19808 729.35918:8369 730.36254:2555,44409,49326,57540,43420,55390,54229
732.2844@5.166,732.2844,5.166,732.28442:3412 733.28777:1549 734.29113:433,4439,4266,4925,6930,7080,8587
734.306@5.501,734.306,5.501,734.30603:4721 735.30938:1668 736.31274:454,7773,1622,17552,799,699,605
737.2579@2.825,737.2579,2.825,737.25787:6708 738.26122:2412 739.26458:1137,30888,28070,28471,30057,27877,31629
737.2922@3.566,737.2922,3.566,737.29218:5725 738.29553:1850 739.29889:505,14157,13844,14509,16224,15492,18704
741.3399@6.313,741.3399,6.313,741.3399:4806 742.34325:2121 743.34661:925,9096,8396,9284,10091,10259,12913
752.4167@4.545,752.4167,4.545,752.41669:18020 753.42004:9129 754.4234:2240,55365,54076,53693,59675,59441,62807
753.2664@3.567,753.2664,3.567,753.26636:3877 754.26971:956 755.27307:476,8791,8325,10115,10363,11383,12990
754.5808@0.947,754.5808,0.947,754.58081:3637 755.58416:2534 756.58752:1654,7717,8107,6873,4706,4754,5036
758.2186@0.641,758.2186,0.641,758.21857:15368 759.22192:14345 760.22528:10802,36804,19002,1262,6773,923,41293
769.3815@8.441,769.3815,8.441,769.38147:7224 770.38482:2716 771.38818:946,56833,52159,51613,42827,51716,49983
770.3303@6.394,770.3303,6.394,770.33032:5864 771.33367:2465 772.33703:498,48599,46444,48544,39045,37133,13068
770.3986@5.951,770.3986,5.951,770.39856:8572 771.40191:3137 772.40527:825,30306,36231,42105,22928,35285,36128
770.5755@0.971,770.5755,0.971,770.5755:6394 771.57885:3335 772.58221:2049,14875,12830,14757,8814,9242,8384
773.2605@5.334,773.2605,5.334,773.2605:6586 774.26385:2335 775.26721:793,8671,2046,14439,6.69770965576172,6.69770965576172,6.69770965576172
773.3657@6.257,773.3657,6.257,773.36572:3238 774.36907:1524 775.37243:547,8971,9118,7958,9481,8389,7908
784.1888@5.334,784.1888,5.334,784.18884:5851 785.19219:2148 786.19555:503,13377,246,10364,24.563117980957,24.563117980957,24.563117980957
784.3704@3.551,784.3704,3.551,784.37042:8267 785.37377:3072 786.37713:1088,12189,11703,11768,25076,25581,25726
786.2775@5.017,786.2775,5.017,786.27747:5295 787.28082:4311 788.28418:732,9974,6126,8821,9502,10522,12323
792.3597@7.074,792.3597,7.074,792.35968:28309 793.36303:11712 794.36639:3256,75816,79875,75289,85387,86455,87315
798.6074@0.959,798.6074,0.959,798.60736:5586 799.61071:0 800.61407:0,11740,10259,12610,7837,9247,7907
